Complexity,Loss,Equation
1,5659.35,"394.02988"
3,144.94096,"FLIR_Intensity ^ 0.6584352"
5,70.704735,"(FLIR_Intensity + -928.9227) ^ 0.66623557"
6,2.4049382,"log(FLIR_Intensity + -4531.234) ^ 2.8293378"
7,0.31211087,"((FLIR_Intensity + -5996.2275) ^ 0.62356126) + 262.6602"
9,0.06536242,"(((FLIR_Intensity + -5701.5874) ^ 0.54381406) * 2.2836618) + 223.62657"
11,0.06535931,"exp(log((((FLIR_Intensity + -5701.5913) ^ 0.54381406) * 2.2836618) + 223.62616))"
12,0.042813417,"(log(FLIR_Intensity + -4846.869) * ((FLIR_Intensity * 0.0012159134) + 74.25091)) + -299.0538"
14,0.042514373,"(log(FLIR_Intensity + -4846.859) * (FLIR_Intensity + ((FLIR_Intensity * -0.9987842) + 74.25149))) + -299.0538"
15,0.041656524,"(log(FLIR_Intensity) * ((FLIR_Intensity * 0.0014106807) + -59.22253)) + (log(FLIR_Intensity + -4653.765) * 99.60503)"
16,0.041024312,"(FLIR_Intensity * -0.033469763) + ((((FLIR_Intensity * 0.00433162) + 81.74144) * log(FLIR_Intensity + -4653.248)) + -299.33292)"
18,0.040775828,"((log(FLIR_Intensity + -4653.4155) * (FLIR_Intensity + ((FLIR_Intensity * -0.995693) + 81.753494))) + -299.8638) + (FLIR_Intensity * -0.033215135)"
19,0.0332167,"(log(FLIR_Intensity + -4866.8286) * ((((FLIR_Intensity * 10.869225) + log(FLIR_Intensity)) + 63.696487) + (FLIR_Intensity * -10.868071))) + -281.9391"
21,0.031316306,"(log(FLIR_Intensity + -4867.4697) * ((FLIR_Intensity * -10.873027) + ((((FLIR_Intensity * 10.874181) + 63.6961) + log(FLIR_Intensity)) + -0.020319248))) + -281.7378"
23,0.029760482,"(((FLIR_Intensity + ((log(FLIR_Intensity) + ((FLIR_Intensity * 10.568432) + -0.019766757)) + 63.695824)) + (FLIR_Intensity * -11.567278)) * log(FLIR_Intensity + -4867.4897)) + -281.7396"
25,0.02749925,"(((log(FLIR_Intensity * 0.9920836) + (FLIR_Intensity + (63.695824 + ((FLIR_Intensity * 10.568432) + -0.0039851097)))) + (FLIR_Intensity * -11.567278)) * log(FLIR_Intensity + -4868.2344)) + -281.7629"
27,0.025725828,"-281.75333 + ((FLIR_Intensity + (((FLIR_Intensity * -11.567278) + log(FLIR_Intensity * 0.9920836)) + (((-0.0039851097 + (FLIR_Intensity * 10.568432)) + -0.0039851097) + 63.695824))) * log(FLIR_Intensity + -4867.026))"
29,0.02460593,"(log(FLIR_Intensity + -4866.8315) * ((((FLIR_Intensity + -0.0022182227) + ((FLIR_Intensity * -11.567278) + log(FLIR_Intensity * 0.9920836))) + -0.0039851097) + (((FLIR_Intensity * 10.568432) + -0.0039851097) + 63.695824))) + -281.73764"
