Complexity,Loss,Equation
1,3358.5623,"363.14676"
3,2489.0442,"FLIR_Intensity ^ 0.57465833"
4,84.988464,"log(FLIR_Intensity) ^ 2.5488358"
5,0.2513849,"(FLIR_Intensity ^ 0.29965442) * 17.406504"
7,0.22085623,"((FLIR_Intensity ^ 0.3138351) * 14.392856) + 16.230318"
9,0.22085246,"(((FLIR_Intensity ^ 0.3138351) + -0.50344527) * 14.392856) + 23.476334"
10,0.06765451,"(log(FLIR_Intensity) + -5.849394) * ((FLIR_Intensity * 0.00020334013) + 79.51011)"
11,0.0636764,"((log(log(FLIR_Intensity)) * 683.1522) + (FLIR_Intensity * 0.0015465484)) + -1258.4338"
12,0.06029268,"((FLIR_Intensity * 0.0014661428) + (log(FLIR_Intensity + -1464.1604) * 65.28039)) + -331.94293"
14,0.04872111,"(((log(FLIR_Intensity + -1534.4994) + FLIR_Intensity) + (FLIR_Intensity * -0.99997735)) * 64.91331) + -328.16592"
16,0.036848336,"((((FLIR_Intensity + FLIR_Intensity) + log(FLIR_Intensity + -1470.9462)) + (FLIR_Intensity * -1.9999775)) * 65.06531) + -329.85684"
18,0.035311494,"((((FLIR_Intensity + (FLIR_Intensity + 0.030276854)) + log(FLIR_Intensity + -1470.9463)) + (FLIR_Intensity * -1.9999775)) * 65.03025) + -331.49377"
20,0.028887559,"-329.87067 + ((((((FLIR_Intensity ^ -0.8090925) + FLIR_Intensity) * -1.9999775) + log(FLIR_Intensity + -1463.5486)) + (FLIR_Intensity + FLIR_Intensity)) * 65.066154)"
22,0.023492875,"((FLIR_Intensity + ((FLIR_Intensity + 0.03766926) + (log(FLIR_Intensity + -1463.8418) + (((FLIR_Intensity ^ -0.487187) + FLIR_Intensity) * -1.9999778)))) * 65.13205) + -331.4633"
24,0.022369873,"(((log(FLIR_Intensity + -1463.5302) + (FLIR_Intensity + FLIR_Intensity)) + (((FLIR_Intensity ^ -0.81003326) + (FLIR_Intensity + (FLIR_Intensity ^ -0.81003326))) * -1.9999775)) * 65.06455) + -329.8359"
26,0.017797958,"(((FLIR_Intensity + (log(FLIR_Intensity + -1463.8418) + ((((FLIR_Intensity ^ -0.487187) + FLIR_Intensity) + (FLIR_Intensity ^ -0.80909383)) * -1.9999778))) + (FLIR_Intensity + 0.03766926)) * 65.13205) + -331.4449"
30,0.01657174,"(((FLIR_Intensity + (log(FLIR_Intensity + -1463.8418) + ((((FLIR_Intensity ^ -0.487187) + (FLIR_Intensity + (FLIR_Intensity ^ -0.80909383))) + (FLIR_Intensity ^ -0.80909383)) * -1.9999778))) + (FLIR_Intensity + 0.03766926)) * 65.13205) + -331.4449"
