Complexity,Loss,Equation
1,2282.531,"107.31751"
3,67.329094,"Pyrometer_Temperature ^ 0.8775345"
5,47.042362,"log(sqrt(Pyrometer_Temperature)) ^ 4.7829943"
6,3.1460981,"log(Pyrometer_Temperature + -46.06545) ^ 2.9261296"
7,2.8373933,"((Pyrometer_Temperature + -56.788055) * 43.158268) ^ 0.54069644"
8,2.727667,"sqrt((Pyrometer_Temperature + -52.25932) * 106.642555) + -13.124462"
9,2.7176478,"(((Pyrometer_Temperature + -50.071453) ^ 0.4807727) + -1.6808047) * 11.920329"
10,2.6908138,"((-114.73185 / Pyrometer_Temperature) + 9.960242) * sqrt(Pyrometer_Temperature + -56.520374)"
11,2.579437,"((Pyrometer_Temperature + -55.232605) * ((Pyrometer_Temperature * -0.008718805) + 23.099207)) ^ 0.5878371"
12,2.1330183,"((Pyrometer_Temperature * -0.00065461843) + 0.7018487) * (Pyrometer_Temperature - exp(217.47351 / Pyrometer_Temperature))"
13,2.096789,"(Pyrometer_Temperature - ((178.70006 / Pyrometer_Temperature) ^ 3.296443)) * ((Pyrometer_Temperature * -0.0006210944) + 0.68801343)"
16,2.03974,"(Pyrometer_Temperature * (((Pyrometer_Temperature + 196.58665) / sqrt(Pyrometer_Temperature)) - ((Pyrometer_Temperature * 0.018093046) + 20.475246))) + -678.3145"
17,1.9003396,"(((sqrt(Pyrometer_Temperature) + (196.05217 / log(Pyrometer_Temperature))) - ((Pyrometer_Temperature * 0.016067302) + 44.362473)) * Pyrometer_Temperature) + -601.86035"
18,1.8856578,"((((Pyrometer_Temperature * 0.37611613) + 41.393654) / sqrt(Pyrometer_Temperature)) - ((Pyrometer_Temperature * 0.008036547) + 5.884641)) * (Pyrometer_Temperature + -51.61843)"
20,1.884621,"(((((Pyrometer_Temperature * 0.40976974) + 45.556602) / sqrt(Pyrometer_Temperature)) - ((Pyrometer_Temperature * 0.00875106) + 6.4167905)) * 0.8873336) * (Pyrometer_Temperature + -51.493202)"
22,1.593025,"((Pyrometer_Temperature * (((Pyrometer_Temperature + 196.71698) / sqrt(Pyrometer_Temperature)) - ((Pyrometer_Temperature * 0.018058779) + 20.495186))) + (0.89541066 / (233.01004 - Pyrometer_Temperature))) + -678.02563"
24,1.4890412,"(((((Pyrometer_Temperature * 0.36748132) + 41.469826) + (-0.085751876 / (Pyrometer_Temperature + -233.04553))) / sqrt(Pyrometer_Temperature)) - ((Pyrometer_Temperature * 0.00774088) + 5.830172)) * (Pyrometer_Temperature + -51.71902)"
28,1.4134964,"(((((Pyrometer_Temperature * 0.3681076) + 41.468605) + ((3.7249367 / (233.38846 - Pyrometer_Temperature)) / (Pyrometer_Temperature - 207.31322))) / sqrt(Pyrometer_Temperature)) - ((Pyrometer_Temperature * 0.0077733053) + 5.8305783)) * (Pyrometer_Temperature + -51.73411)"
